2018-01-19 10:05:55,471 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.cm.ConfigurationAdmin]
2018-01-19 10:05:55,472 | DEBUG | main             | event                            | 34 - org.eclipse.equinox.event - 1.3.100.v20140115-1647 | BundleEvent STARTING - org.eclipse.equinox.event
2018-01-19 10:05:55,476 | DEBUG | main             | event                            | 34 - org.eclipse.equinox.event - 1.3.100.v20140115-1647 | BundleEvent STARTED - org.eclipse.equinox.event
2018-01-19 10:05:55,476 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | BundleEvent STARTED
2018-01-19 10:05:55,478 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.osgi.util.tracker.ServiceTracker$Tracked@678040b3(objectClass=org.osgi.service.log.LogService)]
2018-01-19 10:05:55,479 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (objectClass=org.osgi.service.log.LogService)
2018-01-19 10:05:55,479 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,479 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,522 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.osgi.util.tracker.ServiceTracker$Tracked@a8a8b75(objectClass=org.osgi.service.event.EventHandler)]
2018-01-19 10:05:55,522 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (objectClass=org.osgi.service.event.EventHandler)
2018-01-19 10:05:55,522 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.event.EventHandler]
2018-01-19 10:05:55,522 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.event.EventHandler]
